athleteID,age,sex,height,weight
809,21,M,,
810,18,M,,
811,,M,,
812,,M,,
813,35,M,,
814,25,M,,
815,,M,,
816,16,M,,
817,17,M,,
818,21,M,,
819,42,M,174,
820,24,M,187,83
821,19,M,183,70
822,19,M,183,70
823,19,M,183,70
824,19,M,183,70
825,19,M,183,70
826,28,M,,
827,31,M,185,94
828,22,M,,
829,30,M,,
830,30,M,,
831,29,M,,
832,18,M,,
833,24,M,,
834,17,M,,
835,,M,,
836,19,M,,
837,19,M,,
838,19,M,,
839,19,M,,
840,19,M,,
841,19,M,,
842,32,M,,
843,29,M,,
844,29,M,,
845,33,M,,
846,68,M,,
847,25,M,,
848,18,M,,
849,19,M,,
850,19,M,,
851,23,M,178,
852,25,M,,
853,25,M,,
854,29,M,,
855,24,M,,
856,23,M,,
857,23,M,,
858,30,M,185,79
859,30,M,185,79
860,30,M,185,79
861,37,M,,
862,33,M,170,
863,33,M,170,
864,33,M,170,
865,33,M,170,
866,33,M,170,
867,33,M,170,
868,27,M,,
869,,M,,
870,,M,,47
871,,M,,47
872,36,M,178,95
873,36,M,178,95
874,,M,,
875,25,M,,
876,,M,,
877,32,M,,
878,20,M,,
879,20,M,,
880,20,M,,
881,37,M,,
882,25,M,,
883,,M,,
884,31,M,,
885,22,M,,
886,27,M,,
887,22,M,,
888,,M,,
889,22,M,,
890,22,M,,
891,22,M,,
892,22,M,,
893,22,M,,
894,24,M,185,81
895,,M,,
896,17,M,,
897,23,M,,
898,27,M,,
899,21,M,,
900,25,M,,
901,19,M,,
902,20,M,,
903,20,M,,
904,20,M,,
905,31,M,,
906,35,M,,
907,35,M,,
908,25,M,,
909,24,M,175,
910,24,M,175,
911,,M,,
912,21,M,,
913,31,M,,
914,23,M,,
915,23,M,167,64
916,23,M,167,64
917,23,M,167,64
918,,M,,
919,23,M,,
920,21,M,,57
921,23,M,,
922,23,M,,
923,30,M,,
924,30,M,,
925,18,M,,
926,26,M,173,
927,25,M,185,90
928,20,M,168,57
929,20,M,,
930,23,M,,
931,23,M,,
932,25,M,,
933,25,M,,
934,25,M,,
935,25,M,,
936,25,M,,
937,25,M,,
938,29,M,,
939,18,M,,
940,22,M,,
941,24,M,,
942,24,M,,
943,26,M,165,71
944,,M,,
945,28,M,168,60
946,22,M,180,66
947,22,M,180,66
948,22,M,180,66
949,,M,,
950,,M,,
951,,M,,
952,19,M,,
953,19,M,,
954,19,M,,
955,44,F,,
956,44,F,,
957,44,F,,
958,54,M,,
959,17,M,,
960,,M,,
961,20,M,181,
962,20,M,181,
963,20,M,181,
964,20,M,181,
965,20,M,181,
966,22,M,,
967,,M,,
968,64,M,,
969,18,M,,
970,21,M,,
971,30,M,,75
972,16,M,,
973,22,M,,
974,18,M,,
975,30,M,,
976,,M,,
977,,M,,
978,24,M,,
979,37,M,,
980,24,M,189,82
981,30,M,,
982,,M,,
983,27,M,,
984,,M,,
985,,M,,
986,34,M,,
987,23,M,,
988,23,M,,
989,20,M,,52
990,20,M,,52
991,21,M,,
992,21,M,,
993,,M,,
994,,M,,
995,25,M,170,75
996,25,M,170,75
997,25,M,170,75
998,25,M,170,75
999,27,M,168,60
1000,28,M,167,
1001,22,M,,
1002,37,M,,
1003,16,M,,
1004,22,M,,
1005,22,M,,
1006,28,M,168,
1007,28,M,168,
1008,28,M,168,
1009,23,M,,
1010,23,M,,
1011,19,M,,
1012,19,M,,
1013,22,M,173,61
1014,22,M,173,61
1015,22,M,173,61
1016,22,M,173,61
1017,,M,,
1018,24,M,,
1019,24,M,,
1020,20,M,,
1021,26,M,,60
1022,26,M,,60
1023,24,M,,
1024,45,M,,
1025,29,M,,
1026,29,M,,
1027,,M,,
1028,48,M,,
1029,32,M,,
1030,,M,,72
1031,,M,,72
1032,,M,,
1033,31,M,178,
1034,,M,,
1035,25,M,,
1036,25,M,,
1037,26,M,,
1038,25,M,,
1039,25,M,,
1040,22,M,160,54
1041,15,M,,
1042,26,M,,
1043,26,M,,
1044,26,M,,
1045,26,M,,
1046,26,M,,
1047,24,M,,
1048,27,M,,77
1049,40,M,187,100
1050,20,M,,
1051,28,M,175,70
1052,27,M,,
1053,27,M,,
1054,20,M,,
1055,37,M,,
1056,25,M,,
1057,,M,,
1058,21,M,160,51
1059,21,M,160,51
1060,21,M,160,51
1061,30,M,,
1062,30,M,,
1063,23,M,,
1064,,M,,
1065,20,M,,
1066,40,M,,
1067,21,M,,
1068,,M,,
1069,22,M,,
1070,22,M,,
1071,21,M,,
1072,21,M,,
1073,,M,,
1074,14,M,,
1075,21,M,,
1076,25,M,,64
1077,18,M,,
1078,20,M,180,75
1079,23,M,,
1080,23,M,,
1081,63,F,,
1082,63,F,,
1083,63,F,,
1084,22,M,,
1085,22,M,,
1086,25,M,180,74
1087,25,M,180,74
1088,50,M,,
1089,,M,,
1090,17,M,,
1091,21,M,,
1092,21,M,,
1093,21,M,,
1094,26,M,,
1095,31,M,,
1096,,M,,
1097,21,M,,
1098,25,M,,
1099,25,M,,
1100,,M,,
1101,15,M,,
1102,20,M,183,68
1103,30,M,,
1104,21,M,,
1105,,M,,
1106,20,M,195,115
1107,20,M,195,115
1108,20,M,195,115
